date,Precipitation,Max Temperature,Min Temperature,Avg Temperature,trip_count
2022-01-01,5.8,3.3,-4.3,-0.5,20428
2022-01-02,1.0,-2.1,-10.5,-6.3,43009
2022-01-03,0.0,-5.5,-12.7,-9.1,33189
2022-01-04,0.0,1.7,-5.5,-1.9,36842
2022-01-05,0.0,1.1,-11.0,-4.95,34230
2022-01-06,0.0,-9.3,-15.5,-12.4,44787
2022-01-07,0.0,-9.3,-18.2,-13.75,17401
2022-01-08,1.3,1.1,-10.5,-4.7,24455
2022-01-09,0.0,1.1,-12.7,-5.8,21479
2022-01-10,0.0,-8.8,-14.9,-11.850000000000001,34727
2022-01-11,0.0,2.2,-15.5,-6.65,26824
2022-01-12,0.0,5.0,-0.5,2.25,40568
2022-01-13,0.0,4.4,-1.6,1.4000000000000001,50572
2022-01-14,0.3,2.2,-3.2,-0.5,45714
2022-01-15,0.5,-3.2,-8.8,-6.0,22839
2022-01-16,0.3,-1.6,-11.0,-6.3,20930
2022-01-17,0.0,-2.1,-5.5,-3.8,29084
2022-01-18,0.0,6.7,-6.6,0.050000000000000266,42935
2022-01-19,0.0,4.4,-12.1,-3.8499999999999996,54011
2022-01-20,0.0,-7.1,-14.3,-10.7,33928
2022-01-21,0.0,-3.8,-14.3,-9.05,33598
2022-01-22,0.5,0.6,-7.1,-3.25,31969
2022-01-23,6.1,-6.0,-13.8,-9.9,32967
2022-01-24,3.6,-3.2,-12.1,-7.65,41488
2022-01-25,0.0,-11.0,-17.7,-14.35,50692
2022-01-26,0.0,-9.3,-21.0,-15.15,42005
2022-01-27,0.0,0.0,-9.9,-4.95,43830
2022-01-28,2.0,-3.2,-11.6,-7.4,34871
2022-01-29,0.0,-5.5,-13.8,-9.65,2848
2022-01-30,0.0,-0.5,-11.6,-6.05,9486
2022-01-31,0.0,0.6,-3.8,-1.5999999999999999,22349
2022-02-01,2.3,7.8,0.0,3.9,29338
2022-02-02,7.6,0.6,-8.8,-4.1000000000000005,41947
2022-02-03,0.0,-4.3,-8.8,-6.550000000000001,26568
2022-02-04,0.3,-4.3,-12.1,-8.2,20309
2022-02-05,0.0,-6.6,-15.5,-11.05,29638
2022-02-06,0.0,0.6,-7.7,-3.5500000000000003,28887
2022-02-07,0.0,-0.5,-7.7,-4.1,30717
2022-02-08,0.0,3.3,-7.1,-1.9,51893
2022-02-09,0.0,5.0,0.0,2.5,56007
2022-02-10,0.3,1.7,-2.7,-0.5000000000000001,61937
2022-02-11,2.0,6.7,-2.1,2.3,64614
2022-02-12,0.0,-2.1,-10.5,-6.3,68575
2022-02-13,0.0,-6.6,-11.0,-8.8,20384
2022-02-14,0.0,-3.2,-9.9,-6.550000000000001,34198
2022-02-15,0.0,7.2,-5.5,0.8500000000000001,40550
2022-02-16,21.1,12.8,5.0,8.9,53683
2022-02-17,5.6,5.0,-8.8,-1.9000000000000004,67432
2022-02-18,0.0,-0.5,-13.8,-7.15,47038
2022-02-19,0.0,-3.8,-12.7,-8.25,32450
2022-02-20,0.0,8.3,-8.2,0.05000000000000071,31051
2022-02-21,0.0,8.9,0.0,4.45,52366
2022-02-22,22.1,6.7,-4.9,0.8999999999999999,36459
2022-02-23,0.0,-4.9,-9.3,-7.1000000000000005,66325
2022-02-24,2.8,-2.7,-6.0,-4.35,44725
2022-02-25,1.8,-0.5,-7.7,-4.1,30412
2022-02-26,0.0,-0.5,-10.5,-5.5,41415
2022-02-27,0.0,6.1,-3.2,1.4499999999999997,42805
2022-02-28,0.0,11.7,-2.7,4.5,45636
2022-03-01,0.0,12.2,2.2,7.199999999999999,56019
2022-03-02,0.0,14.4,0.6,7.5,67108
2022-03-03,0.0,2.2,-2.1,0.050000000000000044,55408
2022-03-04,0.0,5.0,-2.1,1.45,49704
2022-03-05,3.0,20.6,3.9,12.25,51358
2022-03-06,0.5,15.0,1.7,8.35,54531
2022-03-07,8.9,2.2,-1.0,0.6000000000000001,67882
2022-03-08,0.0,3.9,-2.7,0.5999999999999999,62178
2022-03-09,0.0,5.0,-2.7,1.15,28088
2022-03-10,0.5,-0.5,-5.5,-3.0,66071
2022-03-11,0.3,-0.5,-8.8,-4.65,69316
2022-03-12,0.0,-4.9,-11.6,-8.25,19628
2022-03-13,0.0,10.6,-6.0,2.3,30833
2022-03-14,0.0,17.2,2.8,10.0,63206
2022-03-15,0.0,12.2,2.2,7.199999999999999,78946
2022-03-16,0.0,21.1,2.2,11.65,81449
2022-03-17,0.0,22.8,8.3,15.55,50004
2022-03-18,16.3,8.3,4.4,6.3500000000000005,92837
2022-03-19,1.5,6.1,2.8,4.449999999999999,77861
2022-03-20,0.0,17.2,1.1,9.15,65417
2022-03-21,0.0,23.3,5.6,14.45,73209
2022-03-22,5.6,13.3,7.2,10.25,75235
2022-03-23,9.4,14.4,7.8,11.1,60865
2022-03-24,6.4,7.8,3.9,5.85,45793
2022-03-25,0.3,8.3,1.7,5.0,74873
2022-03-26,0.0,1.7,-3.2,-0.7500000000000001,62151
2022-03-27,0.0,2.2,-5.5,-1.65,45625
2022-03-28,0.0,1.7,-5.5,-1.9,38135
2022-03-29,0.0,6.7,-1.6,2.55,48426
2022-03-30,28.7,15.6,6.7,11.15,61254
2022-03-31,12.4,8.9,0.6,4.75,72625
2022-04-01,0.0,7.8,-0.5,3.65,68479
2022-04-02,8.6,5.6,0.6,3.0999999999999996,73254
2022-04-03,4.3,10.0,0.6,5.3,37164
2022-04-04,2.3,11.1,4.4,7.75,68902
2022-04-05,1.3,11.7,3.3,7.5,72629
2022-04-06,19.3,13.3,6.1,9.7,48443
2022-04-07,1.5,6.7,3.3,5.0,35322
2022-04-08,8.1,5.0,0.6,2.8,88195
2022-04-09,0.0,12.2,0.0,6.1,67329
2022-04-10,0.0,17.8,0.0,8.9,57144
2022-04-11,0.0,16.7,7.2,11.95,75355
2022-04-12,0.0,20.6,4.4,12.5,93575
2022-04-13,6.6,22.2,3.9,13.049999999999999,98764
2022-04-14,0.0,10.6,1.7,6.1499999999999995,90635
2022-04-15,0.3,11.7,4.4,8.05,99636
2022-04-16,0.0,9.4,0.0,4.7,82188
2022-04-17,0.5,6.1,-1.6,2.25,54110
2022-04-18,3.8,5.0,0.6,2.8,55811
2022-04-19,0.0,10.6,2.2,6.4,58873
2022-04-20,6.1,11.1,5.0,8.05,85294
2022-04-21,1.3,20.0,10.0,15.0,77520
2022-04-22,20.3,11.7,7.8,9.75,97494
2022-04-23,0.0,28.9,10.6,19.75,94585
2022-04-24,10.4,22.8,12.2,17.5,83406
2022-04-25,0.0,12.2,5.0,8.6,72682
2022-04-26,0.0,10.6,1.1,5.85,74947
2022-04-27,0.0,5.0,0.6,2.8,82446
2022-04-28,0.0,10.0,3.3,6.65,78531
2022-04-29,1.0,18.9,8.3,13.6,87089
2022-04-30,39.1,20.6,10.6,15.600000000000001,101537
2022-05-01,0.0,13.3,9.4,11.350000000000001,94657
2022-05-02,0.0,12.2,8.9,10.55,54536
2022-05-03,33.3,10.0,6.7,8.35,92564
2022-05-04,0.0,13.3,3.9,8.6,79594
2022-05-05,8.1,11.7,5.6,8.649999999999999,110355
2022-05-06,7.4,11.7,8.3,10.0,35170
2022-05-07,0.0,17.8,6.1,11.95,20557
2022-05-08,0.0,18.3,6.1,12.2,62745
2022-05-09,0.0,28.3,13.3,20.8,93995
2022-05-10,0.0,31.7,20.6,26.15,104600
2022-05-11,0.0,32.2,23.3,27.75,107079
2022-05-12,0.0,32.8,23.3,28.049999999999997,110862
2022-05-13,0.0,31.7,20.0,25.85,95861
2022-05-14,0.0,30.0,19.4,24.7,79812
2022-05-15,0.0,24.4,14.4,19.4,108477
2022-05-16,0.0,25.6,12.2,18.9,79295
2022-05-17,0.0,20.0,10.6,15.3,117412
2022-05-18,7.4,15.6,11.1,13.35,117596
2022-05-19,0.5,30.0,11.7,20.85,90207
2022-05-20,11.7,30.0,14.4,22.2,85189
2022-05-21,10.7,16.7,12.2,14.45,115215
2022-05-22,0.0,17.2,10.0,13.6,103604
2022-05-23,0.0,16.1,7.2,11.65,101563
2022-05-24,0.0,18.9,9.4,14.149999999999999,104949
2022-05-25,5.6,26.1,12.2,19.15,114182
2022-05-26,0.0,25.0,17.8,21.4,111106
2022-05-27,3.6,17.8,10.6,14.2,89185
2022-05-28,0.0,23.3,9.4,16.35,82607
2022-05-29,0.0,29.4,17.2,23.299999999999997,101235
2022-05-30,0.0,31.7,21.1,26.4,100732
2022-05-31,0.0,30.0,23.3,26.65,100360
2022-06-01,4.6,23.3,15.0,19.15,88070
2022-06-02,0.3,25.0,14.4,19.7,98712
2022-06-03,0.0,27.2,14.4,20.8,120876
2022-06-04,0.0,21.7,12.2,16.95,127507
2022-06-05,0.3,25.0,14.4,19.7,115902
2022-06-06,6.6,24.4,13.9,19.15,110255
2022-06-07,1.8,22.2,13.3,17.75,103639
2022-06-08,17.0,20.6,13.3,16.950000000000003,123906
2022-06-09,0.0,25.6,11.7,18.65,115009
2022-06-10,0.5,25.6,14.4,20.0,122508
2022-06-11,0.0,22.8,15.0,18.9,115603
2022-06-12,0.0,21.1,14.4,17.75,90287
2022-06-13,22.4,31.7,13.9,22.8,111525
2022-06-14,0.0,36.7,18.3,27.5,123640
2022-06-15,6.4,35.6,24.4,30.0,127915
2022-06-16,1.3,34.4,22.2,28.299999999999997,102031
2022-06-17,0.0,28.9,17.8,23.35,119656
2022-06-18,0.0,22.2,12.8,17.5,108577
2022-06-19,0.0,29.4,11.1,20.25,105636
2022-06-20,0.0,35.0,17.8,26.4,114193
2022-06-21,0.0,37.2,22.8,30.0,99400
2022-06-22,0.0,31.7,22.2,26.95,94428
2022-06-23,0.0,29.4,18.3,23.85,117321
2022-06-24,0.0,33.3,18.3,25.799999999999997,124257
2022-06-25,6.1,25.0,19.4,22.2,118493
2022-06-26,0.0,26.7,18.3,22.5,106089
2022-06-27,0.0,26.7,15.6,21.15,79616
2022-06-28,0.0,30.0,16.1,23.05,121346
2022-06-29,0.5,31.1,18.9,25.0,121539
2022-06-30,0.0,33.3,22.8,28.049999999999997,116209
2022-07-01,0.0,27.8,19.4,23.6,103432
2022-07-02,0.0,30.6,18.3,24.450000000000003,88943
2022-07-03,0.0,31.1,20.0,25.55,89364
2022-07-04,17.5,30.6,20.6,25.6,94692
2022-07-05,13.2,34.4,20.6,27.5,88946
2022-07-06,8.9,26.7,20.0,23.35,112874
2022-07-07,0.0,30.0,20.0,25.0,114752
2022-07-08,0.0,25.0,19.4,22.2,98312
2022-07-09,0.0,24.4,17.2,20.799999999999997,123237
2022-07-10,0.0,30.0,15.0,22.5,115594
2022-07-11,0.3,29.4,21.7,25.549999999999997,111362
2022-07-12,0.0,30.0,20.0,25.0,111767
2022-07-13,0.0,26.7,17.8,22.25,120853
2022-07-14,0.0,26.7,16.1,21.4,120450
2022-07-15,20.8,22.2,18.9,20.549999999999997,119355
2022-07-16,0.0,23.9,19.4,21.65,111650
2022-07-17,0.5,25.0,20.6,22.8,111004
2022-07-18,0.0,31.7,20.0,25.85,83439
2022-07-19,0.0,32.2,21.7,26.950000000000003,119752
2022-07-20,0.0,30.6,24.4,27.5,117760
2022-07-21,0.0,33.3,20.6,26.95,109101
2022-07-22,0.0,32.8,20.6,26.7,111786
2022-07-23,45.0,30.0,20.0,25.0,107728
2022-07-24,8.1,30.0,21.7,25.85,99639
2022-07-25,0.0,24.4,17.8,21.1,96351
2022-07-26,0.0,27.8,17.8,22.8,122455
2022-07-27,0.0,28.3,21.1,24.700000000000003,125081
2022-07-28,0.0,26.7,19.4,23.049999999999997,117505
2022-07-29,0.0,27.2,16.7,21.95,114611
2022-07-30,0.0,28.3,17.2,22.75,123256
2022-07-31,0.0,29.4,18.9,24.15,112671
2022-08-01,0.0,29.4,22.2,25.799999999999997,98167
2022-08-02,0.0,32.2,20.0,26.1,120945
2022-08-03,0.0,32.8,23.9,28.349999999999998,124946
2022-08-04,0.0,28.3,20.6,24.450000000000003,118082
2022-08-05,0.0,31.1,19.4,25.25,114401
2022-08-06,0.0,35.0,23.3,29.15,123062
2022-08-07,5.1,28.3,23.9,26.1,95005
2022-08-08,6.1,27.2,18.3,22.75,104188
2022-08-09,0.0,25.0,16.1,20.55,109152
2022-08-10,0.0,29.4,15.6,22.5,123692
2022-08-11,0.0,26.1,16.1,21.1,114225
2022-08-12,0.0,25.0,14.4,19.7,122804
2022-08-13,0.0,26.1,19.4,22.75,132252
2022-08-14,0.0,25.0,18.9,21.95,111858
2022-08-15,0.0,26.1,18.9,22.5,111846
2022-08-16,0.0,27.2,16.7,21.95,122538
2022-08-17,0.0,27.8,16.7,22.25,120504
2022-08-18,0.0,28.9,16.1,22.5,121945
2022-08-19,0.0,30.0,20.0,25.0,120752
2022-08-20,15.5,25.0,18.3,21.65,128688
2022-08-21,0.3,26.1,18.9,22.5,110432
2022-08-22,0.0,29.4,17.8,23.6,85908
2022-08-23,0.0,29.4,17.8,23.6,118449
2022-08-24,0.0,29.4,19.4,24.4,122883
2022-08-25,8.9,27.2,18.9,23.049999999999997,120158
2022-08-26,0.0,25.6,17.2,21.4,108773
2022-08-27,0.0,28.3,15.0,21.65,117835
2022-08-28,9.7,31.7,20.0,25.85,107815
2022-08-29,6.6,29.4,21.1,25.25,108140
2022-08-30,0.0,26.7,18.3,22.5,113460
2022-08-31,0.0,29.4,16.7,23.049999999999997,123277
2022-09-01,0.0,31.1,19.4,25.25,121537
2022-09-02,0.0,30.0,21.1,25.55,116500
2022-09-03,0.0,31.1,20.0,25.55,107735
2022-09-04,0.0,22.8,19.4,21.1,99471
2022-09-05,0.0,21.1,17.8,19.450000000000003,93932
2022-09-06,0.0,26.7,17.8,22.25,40735
2022-09-07,0.0,27.2,17.2,22.2,112912
2022-09-08,0.0,28.9,16.7,22.799999999999997,134611
2022-09-09,0.0,28.9,16.7,22.799999999999997,133707
2022-09-10,0.0,28.9,17.2,23.049999999999997,134650
2022-09-11,36.8,21.7,14.4,18.05,67771
2022-09-12,0.5,19.4,12.2,15.799999999999999,115155
2022-09-13,0.3,25.6,15.6,20.6,122436
2022-09-14,0.0,26.1,14.4,20.25,135072
2022-09-15,0.0,27.2,15.6,21.4,132381
2022-09-16,0.0,27.8,17.2,22.5,131682
2022-09-17,0.0,29.4,20.0,24.7,130502
2022-09-18,11.2,29.4,19.4,24.4,116749
2022-09-19,0.0,25.6,17.2,21.4,102898
2022-09-20,4.1,30.0,17.2,23.6,130001
2022-09-21,0.0,29.4,15.6,22.5,133613
2022-09-22,0.0,17.8,10.0,13.9,102216
2022-09-23,0.0,17.8,10.0,13.9,113272
2022-09-24,2.3,21.7,11.1,16.4,113146
2022-09-25,0.8,20.0,12.8,16.4,86810
2022-09-26,0.0,17.8,10.6,14.2,105459
2022-09-27,0.0,16.1,7.8,11.950000000000001,116586
2022-09-28,0.0,16.1,7.2,11.65,123677
2022-09-29,0.0,17.8,6.7,12.25,121411
2022-09-30,0.0,19.4,8.3,13.85,115282
2022-10-01,0.0,20.0,10.0,15.0,59778
2022-10-02,0.0,18.3,10.6,14.45,51635
2022-10-03,0.0,21.1,7.2,14.15,49566
2022-10-04,0.0,23.3,7.2,15.25,51994
2022-10-05,0.0,24.4,8.9,16.65,69309
2022-10-06,1.3,24.4,10.6,17.5,123901
2022-10-07,0.0,13.9,4.4,9.15,123619
2022-10-08,0.0,14.4,3.3,8.85,100747
2022-10-09,0.0,20.6,5.6,13.100000000000001,93815
2022-10-10,0.0,22.8,7.8,15.3,96125
2022-10-11,11.9,20.6,10.0,15.3,112059
2022-10-12,6.4,18.3,9.4,13.850000000000001,118695
2022-10-13,0.0,12.8,3.3,8.05,73732
2022-10-14,1.0,15.0,3.9,9.45,114921
2022-10-15,0.0,11.7,1.7,6.699999999999999,118062
2022-10-16,0.0,12.2,4.4,8.3,101163
2022-10-17,0.0,6.1,2.2,4.15,88784
2022-10-18,0.0,9.4,1.7,5.55,101005
2022-10-19,0.0,8.9,0.6,4.75,99852
2022-10-20,0.0,16.7,0.6,8.65,104413
2022-10-21,0.0,24.4,6.1,15.25,108664
2022-10-22,0.0,26.1,13.3,19.700000000000003,111348
2022-10-23,0.0,26.1,16.7,21.4,66604
2022-10-24,0.0,24.4,17.2,20.799999999999997,66311
2022-10-25,18.8,21.1,7.8,14.450000000000001,98171
2022-10-26,1.0,12.2,4.4,8.3,112685
2022-10-27,0.0,12.2,2.8,7.5,115653
2022-10-28,0.0,16.1,6.7,11.4,106226
2022-10-29,0.0,19.4,3.9,11.649999999999999,105008
2022-10-30,1.3,18.3,7.2,12.75,95656
2022-10-31,0.5,13.9,10.0,11.95,96458
2022-11-01,0.0,20.0,7.2,13.6,103775
2022-11-02,0.0,22.2,6.1,14.149999999999999,117444
2022-11-03,0.0,22.8,11.1,16.95,116776
2022-11-04,2.5,22.2,16.1,19.15,118788
2022-11-05,4.6,20.6,7.2,13.9,122101
2022-11-06,0.0,16.1,7.2,11.65,103297
2022-11-07,0.0,12.2,3.9,8.049999999999999,107226
2022-11-08,0.0,12.2,6.7,9.45,96598
2022-11-09,0.0,21.1,8.3,14.700000000000001,95500
2022-11-10,0.0,24.4,15.6,20.0,109046
2022-11-11,0.0,16.1,0.0,8.05,54871
2022-11-12,0.0,2.2,0.0,1.1,113802
